Library,License,Link,,,
absl-py==0.8.0,Apache Software License (Apache 2.0),https://pypi.org/project/absl-py/,,,
anytree==2.8.0,Apache 2.0,https://pypi.org/project/anytree/,,,
appdirs==1.4.3,MIT License (MIT),https://pypi.org/project/appdirs/,,,
astor==0.8.0,BSD License (BSD-3-Clause),https://pypi.org/project/astor/,,,
atomicwrites==1.3.0,MIT License (MIT),https://pypi.org/project/atomicwrites/,,,
attrs==19.1.0,MIT License (MIT),https://pypi.org/project/attrs/,,,
cachetools==4.2.2,MIT License (MIT),https://pypi.org/project/cachetools/,,,
certifi==2019.3.9,License: Mozilla Public License 2.0 (MPL 2.0) (MPL-2.0),https://pypi.org/project/certifi/,
cffi==1.12.3,MIT License (MIT),https://pypi.org/project/cffi/,,,
cftime==1.0.3.4,MIT License (License :: OSI Approved :: MIT License),https://pypi.org/project/cftime/,,,
chardet==3.0.4,GNU Library or Lesser General Public License (LGPL) (LGPL),https://pypi.org/project/chardet/,
cloudpickle==1.2.2,BSD License (BSD 3-Clause License),https://pypi.org/project/cloudpickle/,,,
colorama==0.4.4,BSD License (BSD),https://pypi.org/project/colorama/,,,
coverage==4.5.2,Apache Software License (Apache 2.0),https://pypi.org/project/coverage/4.5.2/,,,
cycler==0.10.0, BSD,https://pypi.org/project/Cycler/,,,
decorator==4.4.1,BSD License (new BSD License),https://pypi.org/project/decorator/,,,
dill==0.3.0,BSD License (3-clause BSD),https://pypi.org/project/dill/,,,
distlib==0.3.0,Python Software Foundation License (Python license),https://pypi.org/project/distlib/,,,
docopt==0.6.2,MIT License (MIT),https://pypi.org/project/docopt/,,,
filelock==3.0.12,Public Domain (Public Domain <http://unlicense.org>),https://pypi.org/project/filelock/,,,
gast==0.3.2,BSD License (BSD 3-Clause),https://pypi.org/project/gast/,,,
google-pasta==0.1.7,Apache Software License (Apache 2.0),https://pypi.org/project/google-pasta/,,,
graphviz==0.8.4,MIT License (MIT),https://pypi.org/project/graphviz/,,,
grpcio==1.23.0,Apache Software License (Apache License 2.0),https://pypi.org/project/grpcio/1.23.0/,,,
h5py==2.9.0,BSD License (BSD),https://pypi.org/project/h5py/,,,
horovod==0.18.1,Apache Software License (Apache 2.0),https://pypi.org/project/horovod/,,,
idna==2.8,BSD License (BSD-3-Clause),https://pypi.org/project/idna/,,,
imageio==2.6.1,BSD License (BSD-2-Clause),https://pypi.org/project/imageio/,,,
imbalanced-learn==0.5.0,OSI Approved (MIT),https://pypi.org/project/imbalanced-learn/,,,
importlib-metadata==1.5.0,Apache Software License,https://pypi.org/project/importlib-metadata/,,,
joblib==0.13.2,BSD License (BSD),https://pypi.org/project/joblib/,,,
johnnydep==1.7,MIT,https://pypi.org/project/johnnydep/,,,
Keras-Applications==1.0.8,MIT License (MIT),https://pypi.org/project/Keras-Applications/,,,
Keras-Preprocessing==1.1.0,MIT License (MIT),https://pypi.org/project/Keras-Preprocessing/,,,
kiwisolver==1.1.0,BSD License (BSD),https://pypi.org/project/kiwisolver/,,,
Markdown==3.1.1,BSD License (BSD License),https://pypi.org/project/Markdown/,,,
matplotlib==3.1.2,Python Software Foundation License (PSF),https://pypi.org/project/matplotlib/,,,
mnist==0.2.2,BSD,https://pypi.org/project/python-mnist/,,,
mock==4.0.2,BSD License,https://pypi.org/project/mock/,,,
more-itertools==6.0.0,MIT License (MIT),https://pypi.org/project/more-itertools/,,,
mxnet==1.5.0,Apache Software License (Apache 2.0),https://pypi.org/project/mxnet/1.5.0/,,,
netCDF4==1.5.1.2,MIT License (License :: OSI Approved :: MIT License),https://pypi.org/project/netCDF4/,,,
networkx==2.4,BSD License,https://pypi.org/project/networkx/,,,
nose==1.3.7,GNU Library or Lesser General Public License (LGPL) (GNU LGPL),https://pypi.org/project/nose/,,Dev-Library?!,
numpy==1.16.2,OSI Approved (BSD)https://pypi.org/project/numpy/1.16.2/,https://pypi.org/project/numpy/1.16.2/,,,
opencv-python==4.1.2.30,MIT License (MIT),https://pypi.org/project/opencv-python/,,,
opencv-python-headless==4.2.0.34,MIT License (MIT),https://pypi.org/project/opencv-python-headless/,,,
oyaml==1.0,MIT,https://pypi.org/project/oyaml/,,,
packaging==20.9,"Apache Software License, BSD License (BSD-2-Clause or Apache-2.0)",https://pypi.org/project/packaging/,,,
pandas==0.24.1,BSD,https://pypi.org/project/pandas/,,,
patsy==0.5.1,BSD License (2-clause BSD),https://pypi.org/project/patsy/,,,
Pillow==6.1.0,Historical Permission Notice and Disclaimer (HPND) (HPND),https://pypi.org/project/Pillow/,,,
pipreqs==0.4.10,Apache Software License (Apache License,https://pypi.org/project/pipreqs/,,,
pkginfo==1.7.0,MIT License (MIT),https://pypi.org/project/pkginfo/,,,
plotly==4.9.0,MIT,https://pypi.org/project/plotly/,,,
pluggy==0.9.0,MIT License (MIT license),https://pypi.org/project/pluggy/,,,
protobuf==3.9.1, 3-Clause BSD License,https://pypi.org/project/protobuf/,,,
psutil==5.6.1,BSD License (BSD),https://pypi.org/project/psutil/,,,
py==1.8.0,MIT License (MIT license),https://pypi.org/project/py/,,,
pycparser==2.19,BSD License (BSD),https://pypi.org/project/pycparser/,,,
pymongo==3.10.1,"Apache Software License (Apache License, Version 2.0)",https://pypi.org/project/pymongo/,,,
pyparsing==2.4.5,MIT License (MIT License),https://pypi.org/project/pyparsing/,,,
pytest==4.3.0, MIT License (MIT),https://pypi.org/project/pytest/,,,
pytest-cov==2.6.1,MIT License (MIT),https://pypi.org/project/pytest-cov/,,,
python-dateutil==2.8.0,"Apache Software License, BSD License (Dual License)",https://pypi.org/project/python-dateutil/,,,
pytz==2018.9,MIT License (MIT),https://pypi.org/project/pytz/,,,
PyWavelets==1.1.1,MIT License (MIT),https://pypi.org/project/PyWavelets/,,,
PyYAML==5.1.2,MIT License (MIT),https://pypi.org/project/PyYAML/5.1.2/,,,
requests==2.21.0,Apache Software License (Apache 2.0),https://pypi.org/project/requests/,,,
retrying==1.3.3,Apache Software License (Apache 2.0),https://pypi.org/project/retrying/,,,
scikit-image==0.16.2, BSD License (Modified BSD),https://pypi.org/project/scikit-image/0.16.2/,,,
scikit-learn==0.21.3,OSI Approved (new BSD),https://pypi.org/project/scikit-learn/0.21.3/,,,
scipy==1.3.1,BSD License (BSD),https://pypi.org/project/scipy/,,,
six==1.12.0,: MIT License (MIT),https://pypi.org/project/six/,,,
sklearn==0.0,OSI Approved (new BSD),https://pypi.org/project/scikit-learn/,,,
statsmodels==0.9.0,BSD License (BSD License),https://pypi.org/project/statsmodels/0.9.0/,,,
structlog==21.1.0,"Apache Software License, MIT License (MIT or Apache License, Version 2.0)",https://pypi.org/project/structlog/,,,
tabulate==0.8.9,MIT License (MIT),https://pypi.org/project/tabulate/,,,
tensorboard==1.13.1,Apache Software License (Apache 2.0),https://pypi.org/project/tensorboard/,,,
tensorflow==1.13.1,Apache Software License (Apache 2.0),https://pypi.org/project/tensorflow/,,,
tensorflow-estimator==1.13.0,Apache Software License (Apache 2.0),https://pypi.org/project/tensorflow-estimator/,,,
termcolor==1.1.0,MIT License (MIT),https://pypi.org/project/termcolor/,,,
tflearn==0.3.2,MIT,https://pypi.org/project/tflearn/0.3.2/,,,
toml==0.10.2,MIT License (MIT),https://pypi.org/project/toml/,,,
torch==1.2.0,BSD License (BSD-3),https://pypi.org/project/torch/,,,
torchvision==0.4.0,BSD,https://pypi.org/project/torchvision/,,,
tornado==6.0.1,Apache Software License (http://www.apache.org/licenses/LICENSE-2.0),https://pypi.org/project/tornado/,,,
tqdm==4.36.1," MIT License, Mozilla Public License 2.0 (MPL 2.0) (MPLv2.0, MIT Licences)",https://pypi.org/project/tqdm/,,,
typing-extensions==3.10.0.0,Python Software Foundation License (PSF),https://pypi.org/project/typing-extensions/,,,
urllib3==1.24.1,MIT License (MIT),https://pypi.org/project/urllib3/,,,
virtualenv==20.0.10,MIT License (MIT),https://pypi.org/project/virtualenv/,,,
Werkzeug==0.15.6,BSD License (BSD-3-Clause),https://pypi.org/project/Werkzeug/,,,
wimpy==0.6,MIT,https://pypi.org/project/wimpy/,,,
wrapt==1.11.2,BSD License (BSD),https://pypi.org/project/wrapt/,,,
yarg==0.1.9,MIT License (MIT),https://pypi.org/project/yarg/,,,
zipp==3.1.0,MIT License,https://pypi.org/project/zipp/,,,
convLSTM,Apache License 2.0,https://github.com/loliverhennigh/Convolutional-LSTM-in-Tensorflow/blob/master/License.md,,,
SAVP,MIT License (MIT),https://github.com/alexlee-gk/video_prediction/blob/master/LICENSE,,,
TrainModel,MIT License,https://github.com/alexlee-gk/video_prediction/blob/master/LICENSE,,,
MCnet,MIT License,https://github.com/rubenvillegas/iclr2017mcnet/blob/master/LICENSE,,,
flow_ops,MIT License,https://github.com/simonmeister/UnFlow/blob/master/LICENSE,,,
GoogleRobotDataset,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,,,
SNA,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,,,
SV2P,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,,,
lpips-tensorflow,BSD 2-Clause,https://github.com/alexlee-gk/lpips-tensorflow/blob/master/LICENSE
McNet_utils,MIT,https://github.com/Newmu/dcgan_code/blob/master/LICENSE
SoftMotionDataset, ,https://sites.google.com/view/sna-visual-mpc 
